pair_id,subset,L1,a1,b1,L2,a2,b2,DV
947,BFD-D65,36.761993,-3.027870,24.443378,37.316841,-2.065955,26.368347,2.190000
948,BFD-D65,68.409431,-11.552015,-4.972911,69.054413,-10.098262,-8.961590,4.120000
949,BFD-D65,69.054413,-10.098322,-8.961778,68.707779,-6.609661,-11.113789,4.120000
950,BFD-D65,68.707779,-6.609959,-11.113772,68.314392,-8.750665,-10.911943,2.760000
951,BFD-D65,60.852169,-9.738184,-6.687685,60.373489,-9.040853,-9.771657,3.220000
952,BFD-D65,60.373493,-9.041121,-9.771629,60.257355,-12.446758,-9.260426,4.000000
953,BFD-D65,60.852169,-9.738184,-6.687685,60.257355,-12.446896,-9.260566,4.210000
954,BFD-D65,62.583534,-12.343284,-8.065589,62.380802,-13.336552,-11.483627,3.090000
955,BFD-D65,62.380802,-13.336641,-11.483716,62.202549,-9.468149,-8.963191,5.050000
956,BFD-D65,62.583534,-12.343284,-8.065589,62.202549,-9.468060,-8.963099,3.330000
957,BFD-D65,54.249111,-11.179517,-5.832121,53.481651,-11.853148,-9.233289,3.230000
958,BFD-D65,53.481651,-11.853148,-9.233127,53.973911,-9.117484,-9.464688,3.360000
959,BFD-D65,54.249111,-11.179517,-5.832121,53.973911,-9.117514,-9.464852,3.610000
960,BFD-D65,40.361057,-8.361782,-7.028759,40.048119,-7.975266,-4.891597,2.320000
961,BFD-D65,40.048115,-7.975255,-4.891642,40.654354,-10.427422,-4.374039,2.390000
962,BFD-D65,40.654354,-10.427422,-4.373948,41.056744,-8.363739,-4.952534,1.810000
963,BFD-D65,21.394373,-5.173716,-4.278908,21.282413,-5.965609,-5.913222,1.760000
964,BFD-D65,21.282413,-5.965475,-5.913271,21.282413,-6.518055,-4.102059,2.250000
965,BFD-D65,21.394373,-5.173716,-4.278908,21.282413,-6.518174,-4.102018,1.850000
966,BFD-D65,62.380802,32.378571,-0.147722,62.185532,35.070721,2.955289,2.680000
967,BFD-D65,62.185532,35.070633,2.955312,62.490749,39.537548,2.165647,2.250000
968,BFD-D65,62.380802,32.378571,-0.147722,62.490746,39.537289,2.165486,3.400000
969,BFD-D65,47.040016,26.017706,-1.151917,47.404495,31.657328,1.618461,3.190000
970,BFD-D65,47.404495,31.657207,1.618440,47.391548,27.690437,1.810855,2.260000
971,BFD-D65,47.040016,26.017706,-1.151917,47.391548,27.690319,1.810759,2.200000
972,BFD-D65,21.726294,15.280646,-1.367774,21.835646,17.679193,-0.207485,2.640000
973,BFD-D65,21.835646,17.679060,-0.207478,21.980473,16.650330,0.924282,1.680000
974,BFD-D65,21.726294,15.280646,-1.367774,21.980473,16.650450,0.924277,2.860000
975,BFD-D65,75.779869,20.183804,40.947208,75.866257,14.246047,34.876385,5.440000
976,BFD-D65,75.866257,14.246315,34.876354,76.038559,11.430151,35.647366,2.140000
977,BFD-D65,75.779869,20.183804,40.947208,76.038559,11.430181,35.647598,6.340000
978,BFD-D65,61.731800,10.148634,27.097399,61.602417,13.196148,31.410618,3.010000
979,BFD-D65,61.602417,13.196177,31.410522,61.826405,10.219472,31.749331,2.990000
980,BFD-D65,61.731800,10.148634,27.097399,61.826405,10.219741,31.749168,3.330000
981,BFD-D65,45.838963,9.817338,25.960958,46.365105,7.779533,22.730371,2.510000
982,BFD-D65,46.365105,7.779444,22.730297,45.702602,11.665258,21.519072,5.270000
983,BFD-D65,45.838963,9.817338,25.960958,45.702602,11.665110,21.519011,3.930000
984,BFD-D65,26.848423,8.511765,18.244299,26.390116,7.254640,14.995540,2.160000
985,BFD-D65,26.390116,7.254595,14.995491,26.677710,5.281576,15.936484,2.890000
986,BFD-D65,26.848423,8.511765,18.244299,26.677710,5.281472,15.936432,4.460000
987,BFD-D65,50.769001,25.389730,0.655839,50.885509,25.021931,3.615300,1.750000
988,BFD-D65,51.780636,23.386131,0.534275,51.904984,22.938185,3.899427,1.880000
989,BFD-D65,51.381916,26.204363,5.334191,51.198063,26.016098,1.017671,2.360000
990,BFD-D65,51.381916,26.204363,5.334191,51.047935,24.890022,9.025714,2.640000
991,BFD-D65,51.541965,24.547220,9.724677,51.689911,23.202326,13.171474,2.500000
992,BFD-D65,50.838955,19.941118,15.479286,51.290112,18.088917,17.778141,2.180000
993,BFD-D65,51.105755,17.067816,20.432623,50.757332,14.727862,21.503677,2.510000
994,BFD-D65,50.628658,13.640408,20.745934,50.733971,11.182321,22.495691,3.080000
995,BFD-D65,50.966820,8.495759,24.101707,51.221096,6.150157,25.018940,2.610000
996,BFD-D65,50.966820,8.495759,24.101707,51.244118,5.850030,25.390585,3.030000
997,BFD-D65,50.873875,1.705769,25.025928,51.198063,-1.004326,24.560135,2.780000
998,BFD-D65,49.881954,-6.178273,23.285236,49.905922,-9.216836,22.124119,2.490000
999,BFD-D65,50.546513,-17.619324,18.252106,50.192162,-14.344807,20.415913,2.530000
1000,BFD-D65,49.785915,-20.800692,14.800025,50.369812,-22.366034,11.760392,2.150000
1001,BFD-D65,50.955215,-23.381392,9.570577,50.581745,-24.485786,6.330908,2.320000
1002,BFD-D65,50.523010,-25.385704,0.193805,50.931999,-25.359365,-2.700922,1.930000
1003,BFD-D65,50.061275,-23.911198,-5.383900,50.405228,-22.898642,-8.760909,2.700000
1004,BFD-D65,50.687206,-20.241760,-13.826896,50.357998,-18.822725,-15.640470,1.530000
1005,BFD-D65,49.989662,-14.312641,-20.112686,50.511250,-11.908682,-21.836609,1.850000
1006,BFD-D65,50.523010,-7.130917,-24.381063,50.850601,-4.826145,-24.798477,1.930000
1007,BFD-D65,50.652088,0.183831,-24.708681,51.094200,2.780750,-25.021429,2.110000
1008,BFD-D65,49.881954,7.489310,-23.743315,49.773891,9.805821,-22.437998,2.360000
1009,BFD-D65,49.797935,13.334814,-20.637012,49.886749,15.541023,-19.526270,2.150000
1010,BFD-D65,49.881954,15.542047,-19.531717,50.163647,17.603216,-17.137688,2.340000
1011,BFD-D65,50.417027,18.435682,-15.066799,50.534767,20.136862,-12.050967,2.410000
1012,BFD-D65,50.827305,21.649700,-14.418571,50.850601,23.868753,-11.273953,2.090000
1013,BFD-D65,50.605209,20.716892,-10.157693,51.290115,21.612787,-6.012924,2.580000
1014,BFD-D65,50.558262,24.314123,-7.124293,50.687206,25.921114,-3.672674,1.800000
1015,BFD-D65,50.558262,24.314123,-7.124293,50.687206,25.652714,-3.247802,2.290000
1016,BFD-D65,42.988392,39.817799,2.420442,43.315536,39.269077,6.565215,1.720000
1017,BFD-D65,42.551537,43.267765,16.363024,43.374630,41.469414,21.105474,2.170000
1018,BFD-D65,49.423252,43.181210,34.867008,49.374592,46.315643,31.980530,2.060000
1019,BFD-D65,50.061275,37.875839,51.369839,49.809952,34.680492,54.007980,1.470000
1020,BFD-D65,69.312546,21.833036,64.167267,69.633034,18.968876,64.937149,1.670000
1021,BFD-D65,69.519356,23.559267,62.963558,69.633034,18.968994,64.937340,2.340000
1022,BFD-D65,68.460518,-0.986367,71.334984,68.845329,-4.656554,71.417603,2.130000
1023,BFD-D65,68.765747,1.132695,71.996552,68.845329,-4.656394,71.417595,3.200000
1024,BFD-D65,69.604645,-0.045625,72.286209,68.845329,-4.656554,71.417511,2.650000
1025,BFD-D65,60.948948,-12.338242,58.745937,61.089287,-16.649065,57.868229,2.300000
1026,BFD-D65,51.105755,-32.348072,45.657890,51.404827,-36.601044,42.290524,1.630000
1027,BFD-D65,50.943607,-43.654781,32.677731,50.369812,-46.728775,28.174463,1.780000
