hue_index,hue_dkl_deg,contrast,bold_v4_mean,bold_v4_std,n_runs,scs_pi3,scs_pi5,scs_pi7,fisher_distance
1,0,0.1,-0.2131332368867697,0.1038402347200741,30,0.389054846638759,0.3274872855482023,0.2834578678130385,0.1296058733457086
1,0,0.3,-0.0762637647244598,0.1121805035182363,28,0.3977756956948368,0.3191263786375019,0.2830979256676613,0.1421659500951326
1,0,0.5,-0.3031232355070506,0.1446222241646817,29,0.4064744249190462,0.310786678590255,0.2827388964906988,0.1562470809297344
1,0,0.95,-0.1631051191059981,0.1410517568405654,31,0.4259661247107872,0.2920994743464788,0.2819344009427338,0.1917300855336499
2,45,0.1,-0.0382147248059038,0.1012912890159879,28,0.381278799429664,0.3232060193030263,0.2955151812673097,0.106342719476955
2,45,0.3,-0.1624601696210865,0.1132476713505669,29,0.3748040735665274,0.307111472889689,0.3180844535437835,0.0878911498151243
2,45,0.5,-0.061728909181252,0.1012878718438548,31,0.3687460595251819,0.2920527676684838,0.3392011728063343,0.0955744909224559
2,45,0.95,-0.1963575995076549,0.144153252598408,30,0.3564448244673466,0.2614749790848918,0.3820801964477613,0.1601241556093328
3,90,0.1,-0.3028894342102071,0.1592787707518451,29,0.3756299462010717,0.3238675154328578,0.3005025383660704,0.0934288501206214
3,90,0.3,-0.0135847395225052,0.1331448418774698,31,0.358739299281462,0.3093044277258425,0.3319562729926956,0.0605761954765764
3,90,0.5,-0.2015926783903815,0.1132327237353685,30,0.3433023032447001,0.2959946753944968,0.3607030213608032,0.08299912457764
3,90,0.95,-0.0042298219290342,0.1031177824987,28,0.3129977700444593,0.2698661572260842,0.4171360727294564,0.1829505675286218
4,135,0.1,0.118762479483399,0.1040035741003045,31,0.3751944523546807,0.3290288567170472,0.2957766909282719,0.0974511799885116
4,135,0.3,-0.0754775507624507,0.0817353993692844,29,0.3571115744647626,0.3239862290547349,0.3189021964805025,0.0504275660498006
4,135,0.5,-0.2507354593255403,0.1082702419160754,28,0.3401372558657304,0.3192527364637073,0.3406100076705622,0.0300388216705796
4,135,0.95,-0.1162325032952373,0.1562588819601126,29,0.305504261578692,0.309594910088742,0.3849008283325658,0.1076870606902454
5,180,0.1,0.095577684508978,0.0961558991825973,29,0.3803117932712574,0.3358694803151239,0.2838187264136185,0.1190513433953004
5,180,0.3,0.1139539474380941,0.1012665467535678,28,0.3715464506820379,0.3442730443439942,0.2841805049739677,0.111085906172562
5,180,0.5,-0.1933525317609893,0.1241002792736885,29,0.3627587335273198,0.3526980594561362,0.2845432070165439,0.1063125924919013
5,180,0.95,0.1115131065033381,0.1227319202201375,31,0.3429041178994174,0.3717332006385123,0.2853626814620701,0.109131763645027
6,225,0.1,0.035513943559889,0.0953308081327309,28,0.3882147650353384,0.340447092164104,0.2713381428005576,0.1458298283736081
6,225,0.3,0.1972488841157481,0.1134341451232658,29,0.3956630766829251,0.3589617289297471,0.2453751943873277,0.1987523357380992
6,225,0.5,0.0865029044386427,0.0915950589881392,31,0.4036826804691781,0.3788964548289992,0.2174208647018226,0.2621780778290295
6,225,0.95,0.1374961641744591,0.1138754890781789,30,0.424188177185783,0.4298679825214572,0.1459438402927597,0.4470219553026348
7,270,0.1,-0.2204729924438029,0.0970722847358398,29,0.3941897174620636,0.3398697193734403,0.265940563164496,0.159829197310918
7,270,0.3,0.2157351793226862,0.1196780573003895,31,0.4146788859868744,0.3575354464288213,0.2277856675843043,0.2440907297056573
7,270,0.5,-0.1180869135066636,0.1118606602152276,30,0.4374148054358245,0.3771383183975846,0.1854468761665909,0.3464784445327865
7,270,0.95,-0.0456807663147132,0.0868752104486797,28,0.4989688429294601,0.4302101072406751,0.0708210498298647,0.6953980279350266
8,315,0.1,-0.0152944938423587,0.1246493972839304,31,0.3944981520920673,0.3344119252127422,0.2710899226951904,0.1522067788764466
8,315,0.3,0.0401589986938735,0.1102690036471157,30,0.4151506240676261,0.3401711150448622,0.2446782608875116,0.213261020729434
8,315,0.5,0.074143612041222,0.1298719744717439,28,0.4372983460250685,0.3463472732913364,0.2163543806835951,0.281380010849121
8,315,0.95,-0.1300249100724393,0.1145018504254797,29,0.4935134169075892,0.3620235209105882,0.1444630621818225,0.4708535862469279
9,-1,0.1,0.2057339873315574,0.1494622950677469,30,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
9,-1,0.3,0.0792833000653903,0.0754967842682643,28,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
9,-1,0.5,0.0432851351224432,0.0809327124395034,29,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
9,-1,0.95,0.2101167435504224,0.0795693120265827,31,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
